NY.GDP.PCAP.CD,SP.URB.TOTL.IN.ZS,IT.NET.USER.ZS,Avg Years Schooling,SI.POV.GINI,Country Code,Country Name,Region,IncomeGroup
-0.6786622020569842,-1.5102997011868984,-1.3613552942075553,-1.4716012552730682,0.33631123570150984,AFG,Afghanistan,South Asia,Low income
-0.5784854491243087,0.26059167054264265,-0.8999258023562143,-0.809896031049109,2.050869364143996,AGO,Angola,Sub-Saharan Africa,Lower middle income
-0.46096473387967823,0.015830978279562924,0.37938285942383165,0.6648587114210393,-0.8401958400826038,ALB,Albania,Europe & Central Asia,Upper middle income
1.5632553844633175,1.2191951894235353,1.5177267240309933,0.3626620713952282,-1.6713397147206548,ARE,United Arab Emirates,Middle East & North Africa,High income
-0.05146892055895529,1.465773300777635,0.7902350320885195,0.5172743058270384,0.6868068001022314,ARG,Argentina,Latin America & Caribbean,Upper middle income
-0.4999915223978694,0.1846092280525461,0.4495110751028044,0.945971864933422,-0.7475143288819583,ARM,Armenia,Europe & Central Asia,Upper middle income
2.1437883537107014,1.2043603941830385,1.2882161999907191,1.230598932864709,-0.5352437709708012,AUS,Australia,East Asia & Pacific,High income
1.7730579498520733,-0.04021357102973413,1.2187963501266859,0.5488995355971814,-1.0733944811681004,AUT,Austria,Europe & Central Asia,High income
-0.4647253322263925,-0.16319823139104694,0.9616595593037865,1.0986514464348367,-1.1515758204550948,AZE,Azerbaijan,Europe & Central Asia,Upper middle income
-0.6934275010676647,-2.0721060203972854,-1.7169549333069922,-1.6472969762183072,0.5791019149085773,BDI,Burundi,Sub-Saharan Africa,Low income
1.6034264951671842,1.7438294689003428,1.2669652255425459,0.9319162072578026,-1.518863680164753,BEL,Belgium,Europe & Central Asia,High income
-0.6499313080461377,-0.5474883647061067,-1.2420664909718078,-1.2677942189765907,0.7727614274254115,BEN,Benin,Sub-Saharan Africa,Lower middle income
-0.6687953607369147,-1.3543150074782906,-1.559060193157063,-1.8265768898708283,0.8101330045224462,BFA,Burkina Faso,Sub-Saharan Africa,Low income
-0.6140958404938442,-1.036123421695266,-1.0685168663117244,-0.7477348849786829,-0.7744218643918233,BGD,Bangladesh,South Asia,Lower middle income
-0.2637502549439497,0.7012307484827371,0.37725776197901445,1.1251815002975658,0.39755079337118393,BGR,Bulgaria,Europe & Central Asia,High income
0.6098147477455724,1.3513206620603737,1.6034389876386266,-0.34363472680463314,0.33232991702143544,BHR,Bahrain,Middle East & North Africa,High income
-0.42259047718237897,-0.49759439133538585,0.41409278435584856,0.18928553396646836,1.6251747123086169,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
-0.3924519420021802,0.8558635688773353,0.7810262764943113,0.9822354617365184,-1.8268054754443188,BLR,Belarus,Europe & Central Asia,Upper middle income
-0.5350640380332384,0.4511431381942533,-0.3296913213302247,0.074521089045036,0.9805473960849242,BOL,Bolivia,Latin America & Caribbean,Lower middle income
-0.22323577012952317,1.222024275299212,0.507597071927812,-0.05197983003553626,2.3348933500814604,BRA,Brazil,Latin America & Caribbean,Upper middle income
0.32191855462455565,-1.2454399652817467,0.7349824985232688,0.49619081931360953,-0.06404050398513032,BRB,Barbados,Latin America & Caribbean,High income
-0.5332258170956596,-0.8436918653288066,0.13428828745489696,-1.0723854381412967,-0.02699032245113022,BTN,Bhutan,South Asia,Lower middle income
-0.3445389277304891,0.43321067297595905,-0.11505647940367232,0.5313299635026578,2.3498419809202735,BWA,Botswana,Sub-Saharan Africa,Upper middle income
